CLOROF_A,COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,P_TOT,ORTO_PO4,COLOR_VER,TRANSPARENCIA,ABS_UV,SDT,SAAM,SST,TURBIEDAD,TEMP_AMB,PROFUNDIDAD,CAUDAL,DUR_TOT,TEMP_AGUA,CONDUC_CAMPO,pH_CAMPO,OD_%,OD_mg/L
,24196,24196,,2.356,2.35,3.33,6.63,12.6,18.0872,0.003,0.0341,19.6195,0,19.6566,0.003,0.208,0.141,20,,0.009,768,,76.6667,46,35.3,,430,303.34,24.6,1200,8.2,83.7,5.26
,24196,24196,24196,8.3441,6.4727,2.73,4.11,15.5,27.8784,0.2566,0.0603,33.4269,0,33.7438,0.2566,0.2475,0.0979,62.5,,0.0288,433.28,,43,60,26.7,,420000,222.9984,24.3,677,7.97,85.8,7.21
,24196,24196,3654,8.1953,6.1425,4.97,6.65,10,16.16,0.1063,0.0279,8.0885,0.0781,8.3008,0.1844,0.1814,0.0504,30,,0.0086,306.56,,45.625,30,34.6,,180,224.4432,25.8,479,8.02,89.8,7.31
,24196,24196,776,7.6502,4.0415,2,2.34,10,10,0.2231,0.0354,16.7725,0,17.031,0.2231,0.1451,0.1334,30,,0.009,595.2,,54,40,,,5,414.96,29.9,930,8.05,94.3,7.07
,663,12997,109,9.4452,3.0909,2,2.33,10,25.47,0.0589,0.0601,14.5449,0,14.6639,0.0589,0.1387,0.0244,15,,0.0935,748.8,,30,5.5,37.4,,5,298.99,33.1,1170,8.27,127.6,9.06
,24196,24196,860,8.0649,6.8343,3.5,11.42,18.86,32.8,0.2889,0.0232,11.8452,0.5062,12.6635,0.7951,0.2574,0.1008,40,,0.213,581.76,,165,62.5,33,,5,265.056,29,909,7.97,85.5,6.48
,24196,24196,480,12.613,4.799,2.92,3.34,19.8,30.096,0.82,0.021,17.334,0,18.175,0.82,0.201,0.089,75,,0.09,651.52,,92,70,34.8,,5,302.038,29.9,1018,8.14,90.5,6.85
,24196,24196,19863,6.818,6.818,4,10.67,138.72,277.44,0.212,0.043,8.214,0.884,9.353,1.096,0.471,0.127,125,,0.144,268.16,0.028,940,185,21,,0,214.64,20.1,419,8.28,92.4,8.28
,24196,24196,19863,3.284,1.757,5.1,6.5,,,0.31,0.07,10.448,0.379,11.207,0.689,0.274,0.057,20,,0.135,412.8,0.516,226.7,125,37,,0,207.9,26.1,645,8.02,89.8,6.7
,24196,24196,613,2.876,2.615,2,4,10,10,0.01,0.049,4.557,0,4.616,0.01,0.076,0.041,30,,0.1,581.12,0.07,33,28,38,,0,222,32.7,908,8.3,87.1,6.4
,24196,24196,5172,2.882,1.886,2,14.7,16.7,42.69,0.01,0.106,14.864,0,14.98,0.01,0.101,0.055,40,,0.073,751.36,0.017,,,34,,0,302.1,29.4,1174,7.9,70.5,5.4
,1835,24196,1835,2.714,2.714,2,10,11.7,21.06,0.12,0.034,24.588,0,24.742,0.12,0.149,0.088,30,,0.1,705.92,0.072,70,30,35,,0,303.1,28.5,1103,8,79,6.1
,24196,24196,1766,2.549,2.473,2,2,10,17.3,0.156,0.026,15.688,0.47,16.34,0.626,0.162,0.082,50,,0.103,879.36,0.06,86,48,34,,0,267.4,29.1,1374,8,84.3,6.4
,24196,24196,24196,4.0032,3.9276,2,8.12,10.82,21.63,0.191699,0.06,17.2794,0.694001,18.2251,0.8857,0.313,0.1024,65,,0.169,416.64,0.13,16.67,160,23.5,,0,26.11,23,651,7.95,80.3,6.82
,24196,24196,8164,8.4421,4.7856,2,2,10,14.69,0.233148,0.021275,5.520072,0.191752,5.966247,0.4249,0.2272,0.116302,20,,0.142,361.6,0.048,160,125,34,,0,163.45,26,565,8.7,79.9,6.48
,24196,24196,798,2.8629,2.1356,2,2,10,28.42,0.0749,0.012388,10.903512,0,10.9908,0.0749,0.2064,0.1291,30,,0.086,481.92,0.068,126,95,36,,0,31.75,28.6,753,8.2,86.9,6.48
,24196,24196,4106,1.8644,1.7771,2,2,11.37,18.68,0.0283,0.0218,18.7523,0,18.8024,0.0283,0.1482,0.0639,18,,0.082,718.08,0.01,52.5,32,36,,0,281.01,29.7,1122,8.1,97.4,7.23
,24196,24196,3282,2.8439,2.0787,2,2,10,10,0.290035,0.018796,15.241122,0.681245,16.231198,0.97128,0.274886,,10,,0.073,750.08,0.01,195,105,38,,0,298.83,32.5,1172,8.2,98.9,7.17
,24196,24196,1467,4.5676,4.0838,2,2,15.88,24.24,0.069596,0.021051,18.553452,0.020079,18.664178,0.089675,0.218002,0.122686,50,,0.12395,631.04,0.046,110,75,36,,0,275.26,29.2,986,8.2,81.4,6.19
,24196,24196,9804,6.4007,1.1526,2,2,18.32,34.32,0.311197,0.072781,9.100901,0.918363,10.403242,1.22956,0.288772,0.079975,50,,0.13113,371.2,0.571,156,28,31,,,184.32,25.1,580,7.9,78.3,6.43
,24196,24196,1014,3.8385,3.7358,2,2,10,10,0.06527,0.007315,3.497175,1.554363,5.124123,1.619633,0.390599,0.1606,100,,0.15519,292.48,0.045,125,60,32,,163,162.74,22.7,457,8.1,77.5,6.74
,19863,24196,650,4.197,4.1178,2,2,10,10.87,0.168951,0.012073,7.039768,0.398744,7.619536,0.567695,0.13754,0.052519,25,,0.11163,424.96,0.008,72.86,29,29,,94,210.18,28.2,664,8.1,78.5,6.4
,19863,24196,3076,3.5586,2.9053,2,4.07,10,10,0.116918,0.01163,9.619382,0.557113,10.305043,0.674031,0.157395,0.101188,30,,0.08132,653.44,0.035,40,23,31,,88,275.35,27.5,1021,8.4,66.5,5.23
,24196,24196,11199,2.4781,2.4781,2,2,10,24.36,0.10465,0.037983,8.439874,0.118946,8.701453,0.223596,0.158689,0.08298,40,,0.11286,657.92,0.058,81.43,100,30,,179,274.13,28.8,1028,8,74.6,5.72
,24196,24196,2909,2.6675,2.6675,2,2,10,22.05,0.201166,0.016929,11.386552,0,11.604647,0.201166,0.555031,0.318069,25,,0.10781,625.92,0.103,72.22,40,35,,162,253.85,29.1,978,8.3,80.6,6.12
,21430,61310,3180,6.354,4.935,2,2,10,10,0.25698,0.0371,7.32347,0.69098,8.30853,0.94796,0.3582,0.05615,75,,0.163,306.56,0.085,178,130,30,,24,178.43,21.4,479,7.9,76.5,6.79
,15531,24196,1354,6.076,6.05,2,2,10,14.21,0.30402,0.02294,3.2391,0.52621,4.09227,0.83023,0.20313,0.09914,125,,0.181,318.08,0.049,64,35,28,,32,153.52,25.1,497,8.3,80.5,6.67
,1162,2909,41,5.065,4.859,2,2,10,61.32,0.2191,0.11077,4.36391,0,4.69378,0.2191,0.04157,0.02739,30,,0.13,476.8,0.01,35.76,33,29,,49,212.53,27.2,745,8.3,122.8,9.71
,9804,24196,616,3.626,2.453,2,2,10,51.74,0.145028,0.029282,12.195047,0,12.369357,0.145028,0.12892,0.04177,18,,0.106,666.24,0.058,51,33,33,,56,272.2,30.1,1041,8,102.2,7.68
,57940,104620,750,2.607,2.607,2,6.27,10,36.36,0.33516,0.03256,11.86503,0.58029,12.81304,0.91545,0.36949,0.09652,40,,0.092,656,0.032,381.25,140,32,,43,300.41,29.8,1025,8.2,81.3,6.17
,61310,241960,5380,4.295,4.138,2,5.73,16.34,85.74,0.35,0.05589,12.8796,,,,,0.02541,60,,0.156,637.44,0.047,2150,800,32,,132,437.67,30.1,996,8.3,70.4,5.28
,54750,155310,4950,6.121,6.121,2,2,21.2,44.44,0.46525,0.10204,12.87993,0,13.44722,0.46525,0.28085,0.16058,25,,0.112,536.32,0.068,92,55,27,,146,236.06,26.1,838,8.1,97.8,7.86
,24196,24196,6488,5.306,5.306,2,4.64,28.51,35,0.578441,0.087355,7.960144,0.65627,9.28221,1.234711,0.16812,0.19082,40,,0.159,401.92,0.139,97.5,90,28,,130,200.033,23.7,628,8,94.8,8.02
